names,scores,logfoldchanges,pvals,pvals_adj,comparison,-log10_padj
MYH4,-0.003856734,-0.72401834,0.9969227791779738,0.9976457915143371,R_Pre_vs_NR_Pre,0.0010236251413971525
CTSS,-0.004228875,,0.9966258560539357,0.997431310321161,R_Pre_vs_NR_Pre,0.001117002985232431
TCTE3,-0.004499523,,0.9964099122548756,0.9973551144482986,R_Pre_vs_NR_Pre,0.001150180920206431
FRZB,-0.004702509,,0.9962479545772919,0.9972486500673807,R_Pre_vs_NR_Pre,0.0011965429034918869
RDX,-0.005142312,1.0770724,0.9958970468151115,0.9969530233701362,R_Pre_vs_NR_Pre,0.0013253052508183155
PIGP,-0.005209974,-0.034624815,0.9958430610742852,0.9969530233701362,R_Pre_vs_NR_Pre,0.0013253052508183155
ZNF84,-0.0062249037,-19.219732,0.9950332773840013,0.9962551311517199,R_Pre_vs_NR_Pre,0.0016294287826427163
SOWAHA,-0.006394059,,0.9948983139104901,0.9962026318546848,R_Pre_vs_NR_Pre,0.0016523152452164757
HMGN5,-0.0064955517,-3.494119,0.9948173358962041,0.9962026318546848,R_Pre_vs_NR_Pre,0.0016523152452164757
ARL6IP6,-0.008220932,,0.9934407185018681,0.9950493946332296,R_Pre_vs_NR_Pre,0.002155360174676308
ARL3,-0.009743328,1.4187301,0.9922260721771217,0.9939437807959574,R_Pre_vs_NR_Pre,0.002638179365842452
TMTC4,-0.010047806,,0.99198314498413,0.9937559284443943,R_Pre_vs_NR_Pre,0.0027202674594916177
SCFD2,-0.010453779,,0.9916592432201177,0.9935424209608172,R_Pre_vs_NR_Pre,0.002813585226647297
SLC38A9,-0.010656765,-1.8749727,0.9914972928502569,0.9934356498434849,R_Pre_vs_NR_Pre,0.002860259226536943
TTC6,-0.011333385,,0.9909574608516689,0.9931125001161419,R_Pre_vs_NR_Pre,0.00300155169372864
SPG7,-0.0114687085,,0.9908494949407992,0.9930639311793528,R_Pre_vs_NR_Pre,0.0030227917214636305
